var,category,n,prop_survey,prop,ratio
age_place_of_birth_calibration,18_34_CAT,167,0.1725206611570248,0.149672886020309,0.8675649920219108
age_place_of_birth_calibration,18_34_ESP,12,0.012396694214876033,0.010042312255171555,0.8100798552505054
age_place_of_birth_calibration,18_34_Other,22,0.022727272727272728,0.07097715742280156,3.1229949266032686
age_place_of_birth_calibration,35_49_CAT,217,0.22417355371900827,0.20642325881628235,0.9208189609869185
age_place_of_birth_calibration,35_49_ESP,27,0.027892561983471075,0.023738306006668534,0.8510622301650053
age_place_of_birth_calibration,35_49_Other,29,0.029958677685950414,0.07768397296904335,2.593037442552895
age_place_of_birth_calibration,50_64_CAT,164,0.16942148760330578,0.13167968555195225,0.7772313147212792
age_place_of_birth_calibration,50_64_ESP,72,0.0743801652892562,0.06914263423289019,0.9295843046866347
age_place_of_birth_calibration,50+_Other,22,0.022727272727272728,0.042970750178583844,1.890713007857689
age_place_of_birth_calibration,65+_CAT,122,0.12603305785123967,0.09532724919066574,0.7563670263652823
age_place_of_birth_calibration,65+_ESP,114,0.11776859504132231,0.12234178735563155,1.0388320189495732
first_language_calibration,Catalan,338,0.34917355371900827,25.992250902103756,0.7443934577880601
first_language_calibration,Spanish,560,0.5785123966942148,61.37098823667365,1.060841368091073
first_language_calibration,Other,70,0.07231404958677685,12.636760861222601,1.7474835019519255
