province,quota,n,prop_863
Barcelona,Female_18_24_CAT,23,0.0171898355754858
Barcelona,Female_18_24_ESP,1,7.473841554559044e-4
Barcelona,Female_18_24_Other,6,0.004484304932735426
Barcelona,Female_25_34_CAT,53,0.03961136023916293
Barcelona,Female_25_34_ESP,5,0.0037369207772795215
Barcelona,Female_25_34_Other,7,0.00523168908819133
Barcelona,Female_35_49_CAT,116,0.08669656203288491
Barcelona,Female_35_49_ESP,18,0.013452914798206279
Barcelona,Female_35_49_Other,19,0.014200298953662182
Barcelona,Female_50_64_CAT,82,0.061285500747384154
Barcelona,Female_50_64_ESP,42,0.03139013452914798
Barcelona,Female_50_64_Other,10,0.007473841554559043
Barcelona,Female_65+_CAT,70,0.052316890881913304
Barcelona,Female_65+_ESP,57,0.042600896860986545
Barcelona,Female_65+_Other,3,0.002242152466367713
Barcelona,Male_18_24_CAT,40,0.029895366218236172
Barcelona,Male_18_24_ESP,1,7.473841554559044e-4
Barcelona,Male_18_24_Other,4,0.0029895366218236174
Barcelona,Male_25_34_CAT,51,0.03811659192825112
Barcelona,Male_25_34_ESP,5,0.0037369207772795215
Barcelona,Male_25_34_Other,5,0.0037369207772795215
Barcelona,Male_35_49_CAT,101,0.07548579970104634
Barcelona,Male_35_49_ESP,9,0.006726457399103139
Barcelona,Male_35_49_Other,10,0.007473841554559043
Barcelona,Male_50_64_CAT,82,0.061285500747384154
Barcelona,Male_50_64_ESP,30,0.02242152466367713
Barcelona,Male_50_64_Other,7,0.00523168908819133
Barcelona,Male_65+_CAT,52,0.03886397608370702
Barcelona,Male_65+_ESP,57,0.042600896860986545
Barcelona,Male_65+_Other,2,0.0014947683109118087
Girona,Female_18_24_CAT,4,0.0029895366218236174
Girona,Female_25_34_CAT,7,0.00523168908819133
Girona,Female_25_34_ESP,2,0.0014947683109118087
Girona,Female_25_34_Other,1,7.473841554559044e-4
Girona,Female_35_49_CAT,16,0.01195814648729447
Girona,Female_35_49_ESP,2,0.0014947683109118087
Girona,Female_35_49_Other,1,7.473841554559044e-4
Girona,Female_50_64_CAT,12,0.008968609865470852
Girona,Female_50_64_ESP,5,0.0037369207772795215
Girona,Female_50_64_Other,1,7.473841554559044e-4
Girona,Female_65+_CAT,12,0.008968609865470852
Girona,Female_65+_ESP,6,0.004484304932735426
Girona,Male_18_24_CAT,5,0.0037369207772795215
Girona,Male_18_24_Other,2,0.0014947683109118087
Girona,Male_25_34_CAT,8,0.005979073243647235
Girona,Male_25_34_ESP,1,7.473841554559044e-4
Girona,Male_35_49_CAT,17,0.012705530642750373
Girona,Male_35_49_Other,1,7.473841554559044e-4
Girona,Male_50_64_CAT,9,0.006726457399103139
Girona,Male_50_64_ESP,6,0.004484304932735426
Girona,Male_65+_CAT,11,0.008221225710014948
Girona,Male_65+_ESP,5,0.0037369207772795215
Girona,Male_65+_Other,1,7.473841554559044e-4
Lleida,Female_18_24_CAT,3,0.002242152466367713
Lleida,Female_25_34_CAT,4,0.0029895366218236174
Lleida,Female_25_34_ESP,1,7.473841554559044e-4
Lleida,Female_35_49_CAT,9,0.006726457399103139
Lleida,Female_35_49_ESP,1,7.473841554559044e-4
Lleida,Female_35_49_Other,1,7.473841554559044e-4
Lleida,Female_50_64_CAT,8,0.005979073243647235
Lleida,Female_50_64_ESP,2,0.0014947683109118087
Lleida,Female_50_64_Other,1,7.473841554559044e-4
Lleida,Female_65+_CAT,10,0.007473841554559043
Lleida,Female_65+_ESP,4,0.0029895366218236174
Lleida,Male_18_24_CAT,3,0.002242152466367713
Lleida,Male_25_34_CAT,5,0.0037369207772795215
Lleida,Male_35_49_CAT,11,0.008221225710014948
Lleida,Male_35_49_ESP,1,7.473841554559044e-4
Lleida,Male_35_49_Other,1,7.473841554559044e-4
Lleida,Male_50_64_CAT,9,0.006726457399103139
Lleida,Male_50_64_ESP,1,7.473841554559044e-4
Lleida,Male_65+_CAT,7,0.00523168908819133
Lleida,Male_65+_ESP,3,0.002242152466367713
Tarragona,Female_18_24_CAT,6,0.004484304932735426
Tarragona,Female_25_34_CAT,8,0.005979073243647235
Tarragona,Female_25_34_ESP,1,7.473841554559044e-4
Tarragona,Female_25_34_Other,1,7.473841554559044e-4
Tarragona,Female_35_49_CAT,17,0.012705530642750373
Tarragona,Female_35_49_ESP,2,0.0014947683109118087
Tarragona,Female_35_49_Other,1,7.473841554559044e-4
Tarragona,Female_50_64_CAT,12,0.008968609865470852
Tarragona,Female_50_64_ESP,7,0.00523168908819133
Tarragona,Female_50_64_Other,1,7.473841554559044e-4
Tarragona,Female_65+_CAT,12,0.008968609865470852
Tarragona,Female_65+_ESP,9,0.006726457399103139
Tarragona,Male_18_24_CAT,4,0.0029895366218236174
Tarragona,Male_18_24_Other,1,7.473841554559044e-4
Tarragona,Male_25_34_CAT,8,0.005979073243647235
Tarragona,Male_25_34_ESP,2,0.0014947683109118087
Tarragona,Male_35_49_CAT,18,0.013452914798206279
Tarragona,Male_35_49_ESP,2,0.0014947683109118087
Tarragona,Male_35_49_Other,2,0.0014947683109118087
Tarragona,Male_50_64_CAT,13,0.009715994020926755
Tarragona,Male_50_64_ESP,4,0.0029895366218236174
Tarragona,Male_50_64_Other,1,7.473841554559044e-4
Tarragona,Male_65+_CAT,10,0.007473841554559043
Tarragona,Male_65+_ESP,8,0.005979073243647235
